source,RL,bin,num_sentences,mean_rate,pct,num_sentences_no_tanw,mean_rate_no_tanw,pct_no_tanw
ANERCorp,8.0,0,132,0.0,95.65,136,0.0,98.55
ANERCorp,8.0,1/5,6,0.047,4.35,2,0.0377,1.45
ANERCorp,8.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,8.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,8.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,8.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,9.0,0,4,0.0,80.0,4,0.0,80.0
ANERCorp,9.0,1/5,1,0.0196,20.0,1,0.0196,20.0
ANERCorp,9.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,9.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,9.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,9.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,10.0,0,376,0.0,92.38,393,0.0,96.56
ANERCorp,10.0,1/5,31,0.0444,7.62,14,0.0409,3.44
ANERCorp,10.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,10.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,10.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,10.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,11.0,0,62,0.0,89.86,64,0.0,92.75
ANERCorp,11.0,1/5,7,0.0244,10.14,5,0.0231,7.25
ANERCorp,11.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,11.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,11.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,11.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,12.0,0,1202,0.0,87.99,1287,0.0,94.22
ANERCorp,12.0,1/5,164,0.0189,12.01,79,0.0168,5.78
ANERCorp,12.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,12.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,12.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,12.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,13.0,0,137,0.0,83.03,156,0.0,94.55
ANERCorp,13.0,1/5,28,0.0111,16.97,9,0.0105,5.45
ANERCorp,13.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,13.0,3/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,13.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,13.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,14.0,0,2335,0.0,89.02,2511,0.0,95.73
ANERCorp,14.0,1/5,287,0.0109,10.94,111,0.0107,4.23
ANERCorp,14.0,2/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,14.0,3/5,1,0.4144,0.04,1,0.4054,0.04
ANERCorp,14.0,4/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,14.0,5/5,0,0.0,0.0,0,0.0,0.0
ANERCorp,15.0,0,17,0.0,77.27,19,0.0,86.36
ANERCorp,15.0,1/5,5,0.0141,22.73,3,0.0155,13.64
ANERCorp,15.0,2/5,0,0.0,0.0,0,0.0,0.0
